DT_COMPTC,CAPTC_DIA,RESG_DIA
2007-02-23,215.45,71.148
2007-02-26,205.865,65.206
2007-02-27,155.701,45.479
2007-02-28,208.211,140.565
2007-03-01,196.431,43.65
2007-03-02,184.339,69.221
2007-03-05,98.7,203.907
2007-03-06,124.648,169.348
2007-03-07,198.522,51.873
2007-03-08,100.329,24.226
2007-03-09,146.304,128.677
2007-03-12,118.658,40.836
2007-03-13,123.878,44.121
2007-03-14,110.888,57.463
2007-03-15,95.61,73.372
2007-03-16,575.23,50.851
2007-03-19,110.587,53.337
2007-03-20,78.262,30.266
2007-03-21,101.812,36.543
2007-03-22,110.464,143.899
2007-03-23,141.08,91.8
2007-03-26,109.328,50.128
2007-03-27,353.343,295.038
2007-03-28,83.837,58.959
2007-03-29,82.372,85.207
2007-03-30,167.728,118.164
2007-04-02,145.945,46.955
2007-04-03,131.542,78.184
2007-04-04,95.789,76.484
2007-04-05,106.757,75.807
2007-04-09,105.458,112.82
2007-04-10,370.099,210.685
2007-04-11,123.636,103.069
2007-04-12,144.262,128.841
2007-04-13,154.743,88.704
2007-04-16,149.962,86.913
2007-04-17,147.418,117.862
2007-04-18,174.896,141.849
2007-04-19,188.677,94.787
2007-04-20,281.558,169.543
2007-04-23,129.234,96.975
2007-04-24,153.881,204.931
2007-04-25,255.4,139.797
2007-04-26,147.483,88.811
2007-04-27,136.669,159.287
2007-04-30,122.375,75.839
2007-05-02,137.311,53.225
2007-05-03,153.044,106.015
2007-05-04,288.104,202.935
2007-05-07,255.906,118.211
2007-05-08,167.385,159.551
2007-05-09,206.472,303.722
2007-05-10,145.127,65.118
2007-05-11,237.854,112.907
2007-05-14,175.561,97.98
2007-05-15,235.851,72.256
2007-05-16,275.264,186.324
2007-05-17,259.563,60.214
2007-05-18,329.402,105.449
2007-05-21,301.793,85.124
2007-05-22,256.101,70.261
2007-05-23,227.132,65.71
2007-05-24,305.325,148.317
2007-05-25,255.157,72.022
2007-05-28,230.499,110.439
2007-05-29,180.337,44.262
2007-05-30,147.104,45.362
2007-05-31,181.034,50.636
2007-06-01,311.965,54.41
2007-06-04,268.767,63.082
2007-06-05,195.281,88.957
2007-06-06,268.688,50.72
2007-06-08,526.824,143.242
2007-06-11,211.181,188.373
2007-06-12,204.269,229.33
2007-06-13,266.716,77.356
2007-06-14,223.39,172.163
2007-06-15,204.483,86.955
2007-06-18,251.6,114.67
2007-06-19,250.565,188.849
2007-06-20,302.629,400.678
2007-06-21,626.069,67.522
2007-06-22,886.203,55.53
2007-06-25,281.532,85.573
2007-06-26,286.127,95.29
2007-06-27,267.23,139.719
2007-06-28,213.972,100.844
2007-06-29,242.661,72.337
2007-07-02,269.955,66.934
